Species,Times,Concentrations
"[1, 1, 0, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0236665625], [0.0075, 0.0845234375], [0.135, 0.0]]"
"[1, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0530217721518987], [0.135, 0.0820982278481013], [0.0075, 0.0]]"
"[1, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0454584269662921], [0.135, 0.0894015730337079], [0.0075, 0.0]]"
"[1, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0482704587155963], [0.0075, 0.0901895412844037], [0.135, 0.0]]"
"[1, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0454676315789474], [0.0075, 0.111602368421053], [0.135, 0.0]]"
"[1, 0, 1, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0411509183673469], [0.135, 0.0862841836734694], [0.0075, 0.00265489795918367]]"
"[1, 0, 1, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0464104615384615], [0.135, 0.0847495384615385], [0.0075, 0.0]]"
"[1, 0, 1, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0401753246753247], [0.0075, 0.0337472727272727], [0.135, 0.0498174025974026]]"
"[1, 0, 1, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0517087654320988], [0.0075, 0.0300244444444444], [0.135, 0.0533767901234568]]"
"[1, 0, 1, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0598082352941176], [0.135, 0.0804317647058824], [0.0075, 0.0]]"
"[1, 0, 1, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0470433333333333], [0.135, 0.0940866666666667], [0.0075, 0.0]]"
"[1, 0, 1, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.0736484848484849], [0.135, 0.0782515151515152]]"
