Species,Times,Concentrations
"[1, 0, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0]","[[0.140880681818182, 0.101518414918415, 0.0866183529411765, 0.0886545454545455, 0.0862669565217391, 'NA'], [0.00911931818181818, 0.0211615850815851, 0.0284216470588235, 0.0385454545454545, 0.0496330434782609, 'NA']]"
"[1, 0, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0]","[[0.140880681818182, 0.0895431134564644, 0.0877642105263158, 0.0566580722891566, 0.0465, 'NA'], [0.00911931818181818, 0.0370868865435356, 0.0357557894736842, 0.0639219277108434, 0.0651, 'NA']]"
"[1, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 0, 1, 1, 1]","[[0.00403837227293826, 0.0698580281690141, 'NA', 0.120759120879121, 0.11983, 0.12793], [0.145961627727062, 0.0760219718309859, 'NA', 0.00702087912087912, 0.0, 0.0]]"
"[1, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1]","[[0.00403837227293826, 0.0856087272727273, 0.100484102564103, 0.114853888888889, 0.12784578313253, 0.120278796992481], [0.145961627727062, 0.0825512727272727, 0.0394758974358974, 0.00675611111111111, 0.00479421686746988, 0.000911203007518797]]"
"[1, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 0]","[[0.136348638988177, 0.1268, 0.12925, 0.1223421875, 0.11136, 'NA'], [0.0136513610118229, 0.0044, 0.0, 0.0012878125, 0.0, 'NA']]"
"[1, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 0]","[[0.136348638988177, 0.173362397820163, 0.164956952380952, 0.13431, 0.11858, 'NA'], [0.0136513610118229, 0.00738760217983651, 0.00320304761904762, 0.0, 0.0, 'NA']]"
"[0, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.1425, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0075, 0.08499, 0.07163, 0.09082, 0.07604, 0.0772]]"
"[0, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.0075, 0.0, 0.0, 0.0, 0.0, 0.0], [0.1425, 0.0822, 0.08293, 0.08397, 0.09322, 0.08931]]"
"[0, 1, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.1425, 0.0954706849315, 0.06583, 0.07657, 0.06888, 0.06983], [0.0075, 0.00268931506849, 0.0, 0.0, 0.0, 0.0]]"
"[0, 1, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.0075, 0.0806589830508, 0.0695808, 0.07569, 0.09869, 0.07833], [0.1425, 0.00432101694915, 0.0028992, 0.0, 0.0, 0.0]]"
"[0, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.1425, 0.0645444680851, 0.0423568965517, 0.0520609756098, 0.0479321052632, 0.0331168627451], [0.0075, 0.00944553191489, 0.0222931034483, 0.0190890243902, 0.0195278947368, 0.0318431372549]]"
"[0, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.0075, 0.031036, 0.0428347058824, 0.04111875, 0.046515, 0.0295087719298], [0.1425, 0.046554, 0.0324952941176, 0.03198125, 0.046515, 0.0377712280702]]"
